title;creators;translator;isbn13;isbn10;publisher;country;continent;language;type;group;labels;status;library
Cats;;;;;;;;Greek;theatre program;;#theatre;Not Applicable;Piraeus Library
Λεξικό Οικονομικών, Τραπεζικών και Χρηματιστηριακών Όρων;Χρήστος Τριανταφύλλης;;;9607171691;Βεργίνα;Greece;Europe;Greek;dictionary;;;Not Applicable;Piraeus Library
Εισαγωγή στο Μαθηματικό Προγραμματισμό;Παναγιώτης Μηλιώτης;;9789603510116;9603510114;Σταμούλης;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Εισαγωγή στη Θεωρία Πιθανοτήτων και Εφαρμογές;Μάρκος Κούτρας;;9789603519034;;Σταμούλης;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Στατιστική Μέθοδοι Ανάλυσης για Επιχειρηματικές Αποφάσεις;Ιωάννης Χαλικιάς;;9786185131203;;Rosili;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Οργανωσιακή Ψυχολογία και Συμπεριφορά;Ιωάννης Νικολάου, Μαρία Βακόλα;;9789608940741;;Rosili;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Ηγεσία: Ο δρόμος της διαρκούς επιτυχίας;Δημήτριος Μπουραντάς;;9789602184066;;Κριτική;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Διοίκηση Ανθρώπινου Δυναμικού;Δημήτριος Μπουραντάς;;9789603591245;;Μπένου;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Ανάλυση και Αποτίμηση Επιχειρήσεων;Αφροδίτη Ι. Παπαδάκη, Γεωργία Σ. Σιουγλέ, Δημήτριος Χ. Γκίκας;;9789608249707;;Μπένου;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Χρηματοοικονομική Λογιστική;Αφροδίτη Ι. Παπαδάκη, Γεωργία Σ. Σιουγλέ, Δεμοιράκος Ευθύμιος Γ., Δημήτριος Χ. Γκίκας, Τζόβας Χρήστος Α.;;9789603591221;;Μπένου;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Διοικητική επιστήμη - Λήψη επιχειρηματικών αποφάσεων στην κοινωνία της πληροφορίας;Γρηγόρης Πραστάκος;;;978618530420;Σταμούλης;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
"Αρχές Λειτουργίας &amp; Προγραμματισμού Ηλεκτρονικών Υπολογιστών";Γεώργιος Γιαγλής;;9789609443090;;ΟΠΑ;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Μαθηματικά Οικονομικο-Διοικητικών Επιστημών, τόμος 2;Taro Yamane, Ανδρέας Κιντής;;9789600104271;;Gutenberg;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Μαθηματικά Οικονομικο-Διοικητικών Επιστημών, τόμος 1;Taro Yamane, Ανδρέας Κιντής;;9789600104790;978960010794;Gutenberg;Greece;Europe;Greek;university textbook;;;Not Applicable;Piraeus Library
Μαθηματικά Γ΄Λυκείου, Τεύχος Β';Αναστάσιος Μπάρλας;;9789609255691;;Ελληνοεκδοτική;Greece;Europe;Greek;school textbook;;;Not Applicable;Piraeus Library
Μαθηματικά Γ΄Λυκείου, Τεύχος Α';Αναστάσιος Μπάρλας;;9789609255677;;Ελληνοεκδοτική;Greece;Europe;Greek;school textbook;;;Not Applicable;Piraeus Library
Διαχείρηση Έργων: Διεργασίες, Μεθοδολογία και Τεχνικοοικονομική;Avraham Shtub, Jonathan Bard, Shlomo Globerson;;9789606647666;;Επίκεντρο;;;Greek;university textbook;;;Not Applicable;Piraeus Library
Java SE8;Harvey Deitel , Paul Deitel ;;9789605126827;;Γκιούρδας;;;Greek;university textbook;;;Not Applicable;Piraeus Library
Servlets και Σελίδες Διακομιστή Java;Larry Brown, Marty Hall;;9789604610013;;Κλειδάριθμος;;;Greek;university textbook;;;Not Applicable;Piraeus Library
